Student_ID,CGPA,DSA_Score,System_Design_Score,DBMS_Score,OOP_Proficiency,Cloud_DevOps_Score,Web_Dev_Score,Problem_Solving_Rating,Aptitude_Score,Communication_Rating,Teamwork_Score,Github_Projects_Count,Internship_Duration_Months,Certifications_Count,Hackathons_Participated,Mock_Interview_Score,Domain_Specialization,Curriculum_Updated_Year,Skill_Gap_Index
CSE_0057,5.44,44,61,83,77,43,12,1010,51,2.1,78,3,1,1,1,14,FullStack,2024,32.92
CSE_0058,5.98,97,22,55,56,59,12,1701,5,3.1,12,0,4,2,0,2,DataEngineering,2024,35.8
CSE_0059,5.23,2,25,48,46,61,59,844,82,1.9,65,3,12,4,0,42,DevOps,2023,29
CSE_0060,6.63,36,67,12,99,86,56,1920,68,1.5,18,12,9,4,3,46,DataEngineering,2024,0
CSE_0061,6.94,42,81,60,38,16,85,2102,95,1.5,23,0,4,5,1,98,FullStack,2021,31.94
CSE_0062,6.36,39,54,48,15,64,91,1334,73,3.3,87,4,9,0,0,13,DataEngineering,2021,20.09
CSE_0063,9.14,89,5,45,21,94,51,2233,8,3.9,10,4,0,4,5,65,FullStack,2024,8.59
CSE_0064,6.78,54,34,61,84,94,52,1260,90,2.3,58,13,0,2,3,28,DevOps,2019,13.61
CSE_0065,6.4,86,21,7,53,56,85,1190,76,1.1,85,10,8,3,6,3,DevOps,2022,6.25
CSE_0066,7.71,38,42,42,20,54,42,1867,82,1.5,14,6,1,2,5,25,AI_ML,2018,34.19
CSE_0067,5.7,14,14,19,71,52,82,826,20,4.7,9,13,6,5,4,11,DevOps,2022,8.12
CSE_0068,9.01,3,85,96,15,55,71,1593,23,3,40,7,9,5,1,1,Cybersecurity,2024,6.33
CSE_0069,5.37,92,59,89,58,97,71,1920,3,2.8,26,3,3,1,4,16,DataEngineering,2021,17.48
CSE_0070,9.93,85,100,38,30,8,41,1774,23,1.2,59,6,6,4,8,34,DataEngineering,2021,3.24
CSE_0071,8.86,24,11,84,41,21,89,1347,58,3.9,72,3,7,4,8,9,FullStack,2022,29.38
CSE_0072,5.99,12,48,48,73,12,25,1420,98,3.1,51,2,4,4,1,85,DevOps,2021,31.29
CSE_0073,5.03,81,41,63,31,88,22,1366,2,1.8,27,14,12,5,6,42,AI_ML,2023,0
CSE_0074,9.08,32,37,61,58,47,42,1503,67,1.4,64,5,11,4,3,20,AI_ML,2020,15.9
CSE_0075,8.53,15,81,53,33,17,76,2042,100,2.5,16,3,11,0,2,14,AI_ML,2021,20.76
CSE_0076,8.65,41,44,8,8,75,27,984,39,4.3,94,13,0,0,0,34,Cybersecurity,2024,0
CSE_0077,8.86,65,34,87,80,39,8,1892,47,4.5,43,2,3,3,2,84,DevOps,2024,6.24
CSE_0078,5.37,54,29,36,10,16,19,1953,53,3.4,9,14,9,4,8,84,AI_ML,2022,0
CSE_0079,6.79,98,87,48,95,14,55,2390,34,3.9,62,14,2,1,8,84,Cybersecurity,2022,0
CSE_0080,5.58,41,29,40,9,14,82,1647,94,1.5,100,8,9,3,6,59,DataEngineering,2022,20.4
CSE_0081,9.32,33,77,16,85,78,38,1398,55,3.4,92,4,11,5,2,43,FullStack,2024,0
CSE_0082,8.12,29,5,87,16,62,50,1605,88,3.7,81,12,4,4,2,95,DevOps,2019,3.43
CSE_0083,6.65,12,66,20,67,38,11,2157,39,1.8,46,13,9,0,3,4,DevOps,2024,0
CSE_0084,5.32,12,79,50,47,12,78,1977,76,4.5,37,6,12,1,6,72,DataEngineering,2023,1.14
CSE_0085,6.55,17,6,58,51,80,94,2370,67,1.8,69,11,9,3,6,17,DevOps,2024,11.03
CSE_0086,6.63,31,51,38,24,31,54,878,45,2.3,75,13,12,1,1,20,DevOps,2023,0
CSE_0087,8.65,95,13,54,20,8,77,1378,77,3.5,52,5,5,4,4,71,DevOps,2024,8.42
CSE_0088,8.19,98,72,40,100,39,10,1212,12,3.6,77,9,1,2,6,97,DevOps,2024,0
CSE_0089,9.44,38,14,38,64,19,25,1345,26,3.8,43,15,6,1,6,73,Cybersecurity,2019,0
CSE_0090,7.36,45,20,12,62,89,41,968,5,1.4,73,14,12,1,5,50,Cybersecurity,2023,0
CSE_0091,5.6,28,34,63,88,90,26,1480,16,4.4,53,4,2,5,7,40,FullStack,2019,26.02
CSE_0092,8.57,61,65,10,50,84,10,1382,35,3.1,19,6,0,0,2,23,DevOps,2023,10.68
CSE_0093,8.8,92,90,18,35,81,37,1314,98,2.9,78,10,9,4,0,23,DataEngineering,2019,0
CSE_0094,7.81,61,1,10,80,76,97,2137,80,4.9,30,5,2,1,2,95,AI_ML,2019,17.34
CSE_0095,8.85,56,34,76,87,79,42,831,1,4,6,9,8,4,1,96,FullStack,2023,0
CSE_0096,7.47,15,81,45,65,72,18,1086,76,1.5,57,1,9,0,1,37,AI_ML,2019,27.35
CSE_0097,7.61,55,77,44,14,62,63,1393,51,4,9,12,10,5,1,43,AI_ML,2024,0
CSE_0098,7.14,9,19,0,95,75,5,1866,65,1.4,9,12,10,4,4,56,DevOps,2023,4.6
CSE_0099,5.13,29,81,39,38,43,45,1416,51,1.1,38,12,5,0,0,58,DataEngineering,2019,6.18
CSE_0100,5.54,24,9,18,69,37,41,1824,91,2.6,27,2,10,0,3,33,AI_ML,2024,32.84
CSE_0101,5.16,83,24,75,0,82,91,2396,42,5,29,1,5,3,4,74,AI_ML,2024,6.71
CSE_0102,8.18,4,65,71,22,59,64,1069,89,1.7,36,11,3,5,1,94,FullStack,2022,6.48
CSE_0103,6.57,64,24,71,38,70,98,2003,21,3.7,66,2,7,5,4,81,DataEngineering,2018,21.76
CSE_0104,7.54,93,53,60,56,98,71,1317,54,1.7,42,0,4,4,3,22,DataEngineering,2023,22.32
CSE_0105,9.54,48,32,11,80,47,58,1926,66,3.9,78,7,6,2,7,85,AI_ML,2019,0
CSE_0106,6.25,2,35,60,33,17,51,1833,98,3,84,15,8,3,0,42,DataEngineering,2022,0
CSE_0107,7.05,44,94,32,40,15,46,1382,59,3.7,51,5,12,5,4,81,FullStack,2018,0
CSE_0108,8.78,13,13,44,92,54,6,1913,57,1.8,100,15,12,0,0,39,FullStack,2019,0
CSE_0109,6.14,29,64,89,72,38,10,1025,11,4,55,12,4,5,3,46,FullStack,2018,7.8
CSE_0110,5.38,67,79,91,12,67,60,1469,87,5,75,1,10,2,7,40,DevOps,2023,0.09
CSE_0111,6.45,17,53,68,69,58,67,1716,68,3.7,67,7,4,1,0,46,AI_ML,2024,17.47
CSE_0112,5.81,61,51,7,5,88,24,925,83,3,8,5,3,1,1,19,DataEngineering,2024,17.45
CSE_0113,9.65,36,2,24,83,95,11,1755,38,4.7,91,15,5,5,0,76,FullStack,2018,0
CSE_0114,9.04,24,98,90,51,61,25,2032,12,1.1,22,6,1,5,6,64,AI_ML,2024,18.77
CSE_0115,8.17,47,40,45,2,12,11,1920,40,3.9,62,10,2,3,1,67,AI_ML,2020,15.13
CSE_0116,9.36,64,5,86,80,80,42,873,56,4.6,60,0,0,5,0,23,DevOps,2021,33.84
CSE_0117,9.02,52,24,29,62,100,50,2014,52,1.2,39,6,1,2,5,99,DataEngineering,2024,13.01
CSE_0118,5.93,78,12,46,48,5,36,855,11,2.8,43,2,1,5,5,35,DataEngineering,2020,41.45
CSE_0119,9.46,72,97,86,75,82,45,1519,12,1.8,85,10,7,4,1,44,FullStack,2023,0
CSE_0120,7.7,14,7,48,46,76,52,1352,73,3.3,23,11,7,2,0,1,FullStack,2023,12.31
CSE_0121,9.04,48,20,46,54,59,87,831,96,3.6,50,7,1,3,2,27,AI_ML,2018,28.87
CSE_0122,9.48,87,97,83,63,89,79,2350,56,2.2,57,5,12,4,4,25,DataEngineering,2024,0
CSE_0123,6.59,67,67,81,64,13,12,1373,39,2.8,89,3,5,4,5,22,DataEngineering,2024,26.52
CSE_0124,5.55,11,24,17,80,94,88,1466,79,2.1,93,10,4,1,2,78,FullStack,2024,11.9
CSE_0125,6.14,58,78,65,66,53,53,1083,44,2.5,32,7,2,2,8,35,Cybersecurity,2022,13
CSE_0126,7.14,36,67,67,89,3,56,2317,34,1.6,15,8,4,4,4,90,AI_ML,2019,15.49
CSE_0127,9.09,60,44,93,14,38,3,986,2,4.5,21,9,4,3,1,5,DataEngineering,2021,9.37
CSE_0128,9.3,100,59,32,99,71,74,1297,4,1,56,1,4,1,5,34,DevOps,2024,19.87
CSE_0129,5.03,42,11,35,31,24,95,2265,89,4.5,61,15,2,4,7,37,DevOps,2019,6.01
CSE_0130,7.55,69,31,81,95,76,48,929,10,3.3,81,14,2,2,5,34,Cybersecurity,2022,0
CSE_0131,7.09,38,95,100,67,31,6,1438,70,2.3,70,5,3,1,3,99,FullStack,2023,10.3
CSE_0132,6.11,55,91,18,17,58,10,2115,55,3.9,89,4,6,2,5,73,FullStack,2021,2.03
CSE_0133,5.6,62,12,27,82,62,91,913,9,3,71,4,11,2,7,93,FullStack,2020,3.22
CSE_0134,6.69,45,30,39,42,37,53,2022,33,3,69,9,11,2,7,52,DevOps,2023,0
CSE_0135,9.71,87,77,83,34,91,86,812,66,1.4,29,10,11,1,1,37,FullStack,2023,0
CSE_0136,6.62,10,19,96,77,52,44,2094,71,2.6,22,2,1,4,7,92,DevOps,2018,41.35
CSE_0137,7.59,61,17,75,57,93,22,2038,30,2,31,11,9,5,5,58,Cybersecurity,2022,0
CSE_0138,8.52,76,92,14,32,66,27,1243,74,1.1,85,7,3,0,1,42,AI_ML,2018,14.01
CSE_0139,6.82,97,59,40,13,27,56,2335,70,2.4,56,13,3,4,0,3,DataEngineering,2018,5.47
CSE_0140,9.86,24,62,38,33,2,25,1246,65,1.4,8,7,0,1,5,4,Cybersecurity,2019,34.57
CSE_0141,9.81,70,5,1,60,97,24,1785,69,2,30,15,9,0,6,67,DevOps,2023,0
CSE_0142,6.26,51,31,62,3,79,53,1792,40,1.4,70,11,7,0,4,99,Cybersecurity,2022,0
CSE_0143,7.49,3,92,28,87,21,28,1514,62,1.4,8,4,0,0,7,44,DataEngineering,2018,44.11
CSE_0144,6.5,58,42,73,58,95,82,873,31,1.8,12,7,7,5,8,79,AI_ML,2020,2.6
CSE_0145,6.42,71,1,65,28,37,96,1336,19,5,57,9,6,3,3,24,DataEngineering,2021,6.14
CSE_0146,5.18,19,59,50,82,71,35,900,56,1,2,14,8,1,6,77,DevOps,2024,0
CSE_0147,8.05,92,22,74,5,71,13,975,97,3.6,34,7,7,5,7,10,DataEngineering,2022,0
CSE_0148,7.51,62,82,76,96,61,77,1226,49,1.6,96,2,4,5,5,28,Cybersecurity,2019,33.14
CSE_0149,5.26,53,30,9,48,56,34,1940,79,4.7,20,15,7,3,1,33,FullStack,2022,0
CSE_0150,6.39,73,4,13,39,5,29,1989,24,1.4,63,1,10,0,6,85,Cybersecurity,2023,21.9
CSE_0151,9.54,97,82,81,82,77,91,840,11,4.8,94,8,9,3,8,13,DevOps,2019,0
CSE_0152,6.2,56,33,50,64,31,16,1228,70,3.4,51,1,11,3,4,23,AI_ML,2021,22.68
CSE_0153,5.72,89,9,72,68,98,66,1143,38,1,33,8,11,5,1,58,DataEngineering,2020,5.2
CSE_0154,7.45,40,88,38,26,9,79,2247,16,4.6,95,3,2,1,3,38,AI_ML,2018,32.06
CSE_0155,9.93,2,1,27,79,2,29,1165,44,3.1,34,11,9,2,2,25,DevOps,2022,7.36
CSE_0156,6.21,5,10,2,5,58,92,1943,10,2.1,14,12,6,3,3,42,DataEngineering,2019,23.79
CSE_0157,8.36,4,49,83,12,75,44,1408,69,4.1,95,1,11,3,6,35,Cybersecurity,2021,20.96
CSE_0158,8.81,4,30,69,63,48,78,1456,22,4.7,5,9,3,0,7,38,Cybersecurity,2018,18.15
CSE_0159,6.19,53,55,26,61,58,88,1527,90,2.9,84,0,4,0,0,60,DevOps,2024,24.48
CSE_0160,8.64,46,78,1,98,30,50,1028,69,2.3,96,3,8,5,7,15,DataEngineering,2021,13.63
CSE_0161,6.84,86,72,92,18,92,46,1624,37,4.2,31,8,6,0,4,58,Cybersecurity,2020,0
CSE_0162,8.16,48,86,37,75,68,52,1953,1,3.7,51,11,3,4,6,95,DevOps,2018,0
CSE_0163,8.17,8,82,2,79,61,63,2175,85,4.6,82,8,5,3,0,5,DevOps,2018,17.42
CSE_0164,7.68,98,8,15,42,51,37,1688,83,3.8,96,3,9,0,1,97,AI_ML,2024,0
CSE_0165,5.45,19,98,93,73,88,63,2141,88,2,27,8,10,1,0,55,Cybersecurity,2018,9.72
CSE_0166,9.18,60,20,39,88,40,86,1783,78,4.7,94,14,6,4,4,7,DataEngineering,2019,0
CSE_0167,6.6,34,72,1,19,30,88,1635,92,1.4,84,11,12,5,5,93,Cybersecurity,2018,0
CSE_0168,5.93,49,27,80,94,84,6,2160,71,2.1,97,5,9,2,8,26,Cybersecurity,2021,16.15
CSE_0169,5.2,81,61,40,67,83,21,2096,36,3.1,63,0,12,3,7,70,Cybersecurity,2019,3.55
CSE_0170,7.95,61,6,11,43,21,80,916,48,3.3,78,9,8,3,6,26,DevOps,2018,8.01
CSE_0171,8.39,16,79,34,22,3,81,1617,51,1.1,77,12,3,1,4,88,FullStack,2021,13.04
CSE_0172,5.08,87,15,64,1,12,40,1167,32,4.1,18,13,9,2,2,45,FullStack,2021,0
CSE_0173,7.56,2,96,54,21,44,73,1917,21,2.4,14,5,2,2,8,40,AI_ML,2022,29.68
CSE_0174,6.13,31,3,44,56,41,9,967,4,2.6,5,8,7,5,4,78,Cybersecurity,2021,17.26
CSE_0175,8.23,98,3,78,100,48,56,1753,17,4.2,72,12,0,5,2,24,FullStack,2024,0.92
CSE_0176,5.87,12,39,89,71,19,6,2164,37,2.5,100,1,8,4,2,85,AI_ML,2023,28.49
CSE_0177,8.45,88,16,100,6,76,49,1460,36,1.2,83,5,12,3,2,17,DevOps,2020,9.76
CSE_0178,6.93,72,100,84,77,80,90,1494,93,1.7,97,1,0,0,5,11,Cybersecurity,2018,35.22
CSE_0179,9.68,67,51,61,55,53,51,1724,94,4.8,37,3,1,5,0,86,DataEngineering,2024,2.66
CSE_0180,5.69,13,92,48,66,35,32,951,63,1.3,25,15,12,1,3,50,DevOps,2018,3.65
CSE_0181,6.71,100,51,94,15,96,0,1385,9,2.4,81,14,7,1,7,38,AI_ML,2018,0
CSE_0182,5.57,97,35,24,82,0,52,1712,78,3,91,15,8,1,2,88,DevOps,2021,0
CSE_0183,9.62,10,37,22,50,14,59,1073,41,3,50,7,6,5,4,9,DataEngineering,2021,23.23
CSE_0184,9.39,55,49,23,81,76,33,2377,47,1,72,12,2,5,1,93,DevOps,2018,0.15
CSE_0185,6.29,66,62,37,79,16,3,1295,43,3,95,6,6,1,1,73,AI_ML,2023,6.35
CSE_0186,8.3,91,100,27,71,23,16,900,81,2.5,52,10,5,5,6,97,DataEngineering,2019,0
CSE_0187,9.09,28,62,20,96,57,3,1356,86,4.9,55,11,1,0,2,76,DataEngineering,2019,0
CSE_0188,7.78,8,61,53,11,71,42,1905,96,1.6,58,12,2,0,4,53,DevOps,2020,13.02
CSE_0189,7.65,66,98,17,52,90,89,2352,15,2.4,69,8,10,4,2,28,DataEngineering,2022,0
CSE_0190,6.21,24,6,35,74,22,3,872,53,2.7,77,6,12,3,5,40,DevOps,2024,13
CSE_0191,5.47,97,26,98,4,45,0,1837,34,2.6,91,0,11,0,2,8,Cybersecurity,2020,25.73
CSE_0192,9.49,75,91,44,26,71,70,2256,97,3.7,57,1,12,4,7,62,DataEngineering,2018,0.52
CSE_0193,9.5,41,85,72,11,7,93,956,27,1.9,87,15,9,2,1,76,DevOps,2024,0
CSE_0194,8.17,8,13,52,16,58,49,1534,1,1.9,12,5,9,3,2,36,Cybersecurity,2018,32.98
CSE_0195,6.7,78,70,29,5,89,72,931,93,3.9,42,6,12,0,7,13,DataEngineering,2018,0
CSE_0196,6.75,39,100,59,96,58,60,2161,12,3,75,2,11,2,7,100,Cybersecurity,2022,0
CSE_0197,8.63,24,85,97,4,12,34,1818,40,2.7,50,8,4,4,0,72,DataEngineering,2021,10.58
CSE_0198,9.49,4,4,31,56,38,7,2227,79,1.7,18,12,9,0,7,71,AI_ML,2022,2.13
CSE_0199,9.44,10,54,66,27,100,23,2199,58,1.8,20,14,3,0,1,38,AI_ML,2020,0
CSE_0200,8.9,58,1,66,77,27,82,1358,68,1,90,6,1,5,6,39,DevOps,2021,36.29
CSE_0201,8.21,97,61,27,68,88,35,906,91,1.4,82,13,3,2,5,53,FullStack,2021,0
CSE_0202,5.42,87,90,43,58,60,49,1064,52,3.2,23,5,11,0,1,2,AI_ML,2020,1.22
CSE_0203,5.81,78,20,78,32,15,42,2028,44,4.6,25,12,7,1,4,54,FullStack,2021,0
CSE_0204,9.49,37,78,40,61,1,26,1902,19,2.1,44,5,4,5,6,32,Cybersecurity,2024,22.5
CSE_0205,8.03,71,20,62,49,81,31,954,23,2.3,27,0,4,5,7,95,Cybersecurity,2019,33.1
CSE_0206,5.05,4,9,22,18,16,77,1787,60,1.5,81,12,12,0,2,70,FullStack,2020,9.49
CSE_0207,5.51,47,86,74,85,29,17,1796,90,2.6,99,15,11,5,0,18,DevOps,2020,0
CSE_0208,8.32,89,57,47,68,12,27,1046,93,1.1,28,4,11,3,6,33,DataEngineering,2019,12.08
CSE_0209,5.03,17,38,31,65,95,28,1330,57,4.7,16,9,9,2,4,77,FullStack,2022,0
CSE_0210,5.8,69,4,56,93,92,15,1657,26,3.7,67,2,2,3,4,49,FullStack,2022,20.69
CSE_0211,7.74,36,64,99,46,93,98,1337,25,5,43,6,12,4,6,46,FullStack,2022,0
CSE_0212,8.46,59,12,32,38,81,46,1528,6,4.5,60,9,7,3,0,45,FullStack,2021,0
CSE_0213,8.26,47,84,23,67,12,58,1977,41,2.9,92,2,5,1,7,55,FullStack,2019,22.33
CSE_0214,6.12,76,89,38,32,42,30,953,46,3.1,67,4,1,5,4,56,DevOps,2024,14.49
CSE_0215,8.56,27,84,33,12,84,3,891,52,1.8,73,6,1,5,7,82,AI_ML,2020,19.65
CSE_0216,6.19,68,52,55,83,93,36,2256,58,2.8,24,13,8,1,4,50,DataEngineering,2020,0
CSE_0217,6.63,76,81,27,53,20,16,1137,37,4.6,94,2,12,5,6,53,AI_ML,2020,0
CSE_0218,8.73,80,100,36,6,54,38,2303,68,1.2,66,12,6,3,2,89,FullStack,2021,0
CSE_0219,8.25,39,44,6,78,80,47,1954,86,4.5,1,12,9,4,1,80,AI_ML,2021,0
CSE_0220,9.25,44,31,67,86,39,45,1249,91,2.4,88,9,8,0,5,27,DevOps,2023,8.19
CSE_0221,8.29,95,35,36,13,82,89,1609,97,4.6,48,1,5,1,4,18,Cybersecurity,2024,9.51
CSE_0222,7.84,61,80,55,86,14,47,1586,52,4.8,69,5,4,3,8,26,AI_ML,2022,11.06
CSE_0223,5.47,92,98,64,18,72,38,1072,14,3.7,25,7,11,3,3,47,DataEngineering,2023,0
CSE_0224,6.84,57,59,64,53,51,3,1387,95,3.7,71,3,0,3,2,18,DevOps,2023,34.35
CSE_0225,6.33,66,10,46,92,73,29,976,25,2.8,98,8,11,0,8,96,Cybersecurity,2021,0
CSE_0226,6.22,55,62,19,19,94,29,1630,47,4.3,26,11,5,2,7,50,DevOps,2022,0
CSE_0227,9.87,39,20,18,28,52,21,1442,94,4.8,88,11,5,5,5,6,FullStack,2022,8.07
CSE_0228,6.97,97,51,28,23,86,74,1872,18,4.1,17,14,2,5,0,28,Cybersecurity,2020,0
CSE_0229,9.46,39,54,73,81,51,65,1366,8,3.5,53,7,2,4,0,42,DataEngineering,2021,13.13
CSE_0230,8.16,90,25,59,62,29,11,1465,63,3.4,0,6,2,2,5,68,Cybersecurity,2022,8.94
CSE_0231,8.97,76,67,17,73,32,93,2178,92,4.4,60,13,2,5,2,93,DataEngineering,2023,0
CSE_0232,7.51,32,33,91,56,56,35,2131,53,3.2,2,6,6,4,2,57,FullStack,2019,12.59
CSE_0233,7.88,5,51,34,7,51,17,1667,50,4.2,67,2,9,4,5,7,DataEngineering,2019,26.64
CSE_0234,7.46,87,81,42,89,8,89,1869,38,3,40,13,10,3,2,41,DevOps,2021,0
CSE_0235,5.98,18,98,94,61,53,52,1101,3,1.2,36,5,1,1,5,75,AI_ML,2020,29.81
CSE_0236,8.61,79,92,90,28,0,70,1667,2,2.5,50,12,9,3,4,41,DevOps,2020,0
CSE_0237,6.4,39,51,10,73,43,0,1711,63,2.8,14,12,12,0,3,12,DevOps,2022,0
CSE_0238,5.12,91,28,48,16,98,57,1207,28,1.6,7,4,9,5,7,25,Cybersecurity,2024,12.74
CSE_0239,8.23,96,37,37,65,74,89,2012,10,1.4,37,0,1,4,1,17,FullStack,2021,38.35
CSE_0240,5.89,58,41,63,5,97,86,1621,96,3.1,82,10,2,1,6,41,AI_ML,2024,9.33
CSE_0241,9.7,58,20,68,57,79,89,1952,57,1.3,55,2,9,5,3,50,DataEngineering,2019,23.24
CSE_0242,9.77,47,41,7,68,8,5,1360,74,2.2,46,12,11,4,1,83,Cybersecurity,2023,0
CSE_0243,9.57,40,12,33,27,31,69,2360,26,4,89,11,6,4,6,15,FullStack,2022,3.7
